,timestamp,counter,device_id,distance,rssi,snr,sf,frequency,airtime,energy,length,temperature,rh,bp,pm2_5,pm10,log_distance
516476,2021-11-24,204566,EN4,8260.0,-81,-0.2,8,904700000,0.102912,0.606,72,23.4,77.8,843.2,0.0,1.0,3.9169800473203824
531102,2021-11-25,209909,EN4,8260.0,-86,-5.2,10,904500000,0.370688,0.579,80,17.9,99.9,843.8,0.0,1.0,3.9169800473203824
539837,2021-11-26,213022,EN4,8260.0,-82,-2.0,9,904500000,0.267264,0.539,208,17.2,99.9,844.2,0.0,1.0,3.9169800473203824
557924,2021-11-27,219704,EN4,8260.0,-79,0.2,7,905300000,0.056576,0.58,72,19.4,99.9,846.4,0.0,0.0,3.9169800473203824
570021,2021-11-28,225447,EN4,8260.0,-81,-2.0,8,903900000,0.164352,0.478,256,20.6,95.3,845.7,0.0,1.0,3.9169800473203824
579520,2021-11-29,229393,EN4,8260.0,-81,-0.8,9,904300000,0.390144,0.574,424,19.9,99.9,844.6,0.0,1.0,3.9169800473203824
600410,2021-11-30,240626,EN4,8260.0,-85,-4.2,10,905300000,0.370688,37.572,80,17.0,99.9,846.7,179.4,157.7,3.9169800473203824
608272,2021-12-01,243514,EN4,8260.0,-79,0.8,7,904700000,0.194816,0.485,816,28.2,57.3,845.1,0.0,1.0,3.9169800473203824
616093,2021-12-02,248216,EN4,8260.0,-80,-1.8,7,905100000,0.056576,0.604,72,21.9,92.3,846.7,0.0,1.0,3.9169800473203824
632834,2021-12-03,256298,EN4,8260.0,-80,-1.2,10,905100000,0.370688,0.592,72,22.9,92.3,841.6,0.0,1.0,3.9169800473203824
640633,2021-12-04,259220,EN4,8260.0,-84,-3.5,9,904900000,0.205824,0.596,72,0.0,0.0,844.4,0.0,1.0,3.9169800473203824
654755,2021-12-05,264860,EN4,8260.0,-84,-3.2,9,904100000,0.205824,0.61,72,18.6,99.9,844.6,0.0,1.0,3.9169800473203824
673364,2021-12-06,271944,EN4,8260.0,-85,-4.2,9,904700000,0.349184,0.59,352,0.0,0.0,844.4,0.0,1.0,3.9169800473203824
688140,2021-12-07,277203,EN4,8260.0,-86,-4.8,10,904100000,0.370688,0.594,80,26.4,64.3,844.7,0.0,1.0,3.9169800473203824
705728,2021-12-08,283414,EN4,8260.0,-84,-4.2,9,904900000,0.267264,0.545,208,29.6,56.4,843.7,0.0,1.0,3.9169800473203824
721954,2021-12-09,289216,EN4,8260.0,-86,-4.5,8,904500000,0.225792,0.501,440,0.0,0.0,842.8,0.0,1.0,3.9169800473203824
727543,2021-12-10,292617,EN4,8260.0,-86,-5.0,7,904300000,0.123136,0.436,440,17.5,99.9,843.3,0.0,1.0,3.9169800473203824
741589,2021-12-11,297587,EN4,8260.0,-84,-3.2,7,903900000,0.261376,0.518,1184,19.9,99.9,843.4,0.0,1.0,3.9169800473203824
760913,2021-12-12,304694,EN4,8260.0,-82,-2.0,7,904300000,0.327936,0.531,1560,18.6,99.9,844.9,0.0,1.0,3.9169800473203824
775726,2021-12-13,310299,EN4,8260.0,-82,-1.2,9,904700000,0.390144,0.568,424,14.4,99.9,846.1,0.0,1.0,3.9169800473203824
797989,2021-12-14,318667,EN4,8260.0,-86,-4.8,8,904500000,0.287232,0.519,624,23.3,88.2,842.6,0.0,1.0,3.9169800473203824
805561,2021-12-15,321641,EN4,8260.0,-81,-1.2,8,904500000,0.164352,0.464,256,18.8,99.9,844.9,0.0,1.0,3.9169800473203824
819219,2021-12-16,328132,EN4,8260.0,-82,-2.2,10,904500000,0.370688,0.594,72,22.4,91.0,844.4,0.0,1.0,3.9169800473203824
832716,2021-12-17,334571,EN4,8260.0,-81,-3.0,7,904100000,0.123136,0.447,440,25.0,76.4,842.6,0.0,1.0,3.9169800473203824
840423,2021-12-18,338684,EN4,8260.0,-78,-0.2,8,904500000,0.338432,0.534,808,17.2,99.9,844.9,0.0,1.0,3.9169800473203824
857278,2021-12-19,347548,EN4,8260.0,-87,-6.2,9,903900000,0.349184,0.559,352,20.3,99.9,844.1,0.0,1.0,3.9169800473203824
859049,2021-12-20,348527,EN4,8260.0,-76,-1.5,8,904700000,0.399872,0.569,992,19.5,99.9,844.7,0.0,1.0,3.9169800473203824
866373,2021-12-21,355492,EN4,8260.0,-79,-0.8,9,904100000,0.349184,0.556,352,18.4,99.9,844.2,0.0,1.0,3.9169800473203824
885132,2021-12-22,362662,EN4,8260.0,-82,-2.5,8,904100000,0.338432,0.571,808,27.2,57.5,845.0,0.0,1.0,3.9169800473203824
906763,2021-12-23,369302,EN4,8260.0,-82,-2.5,7,904900000,0.194816,0.474,816,24.9,75.8,842.7,0.0,1.0,3.9169800473203824
916080,2021-12-24,372410,EN4,8260.0,-80,-1.8,9,904500000,0.267264,0.525,208,19.0,99.9,845.6,0.0,1.0,3.9169800473203824
937240,2021-12-25,378395,EN4,8260.0,-82,-2.2,10,905300000,0.370688,0.578,80,18.4,99.9,845.5,0.0,1.0,3.9169800473203824
966241,2021-12-26,387137,EN4,8260.0,-83,-3.2,7,904900000,0.261376,0.514,1184,17.8,99.9,844.9,0.0,1.0,3.9169800473203824
978215,2021-12-27,391481,EN4,8260.0,-83,-2.8,7,904700000,0.261376,0.507,1184,23.1,91.4,843.5,0.0,1.0,3.9169800473203824
988259,2021-12-28,396544,EN4,8260.0,-82,-3.0,7,904300000,0.194816,0.494,816,25.1,77.6,844.9,0.0,1.0,3.9169800473203824
1005164,2021-12-29,404706,EN4,8260.0,-82,-3.2,7,905300000,0.327936,0.533,1560,19.1,99.9,846.8,0.0,0.0,3.9169800473203824
1012422,2021-12-30,407570,EN4,8260.0,-85,-4.2,9,904100000,0.205824,0.604,72,23.5,92.4,846.7,0.0,1.0,3.9169800473203824
1031723,2021-12-31,415535,EN4,8260.0,-83,-2.2,8,903900000,0.102912,0.599,72,22.0,99.9,843.3,0.0,1.0,3.9169800473203824
1048587,2022-01-01,421811,EN4,8260.0,-82,-1.5,10,904300000,0.370688,0.591,72,20.9,99.9,845.3,0.0,1.0,3.9169800473203824
1060347,2022-01-02,427268,EN4,8260.0,-81,-2.0,7,904500000,0.261376,0.518,1184,18.2,99.9,846.7,0.0,1.0,3.9169800473203824
1070733,2022-01-03,431413,EN4,8260.0,-82,-2.0,10,904500000,0.370688,0.606,80,26.8,55.3,843.1,0.0,1.0,3.9169800473203824
1154620,2022-01-17,433152,EN4,8260.0,-80,-2.5,7,904300000,0.327936,0.535,1560,20.3,99.9,845.9,0.0,1.0,3.9169800473203824
1158587,2022-01-18,435702,EN4,8260.0,-81,-1.0,8,904100000,0.338432,0.542,808,21.1,99.9,846.9,0.0,1.0,3.9169800473203824
1169263,2022-01-19,440983,EN4,8260.0,-80,-0.5,8,904100000,0.399872,0.567,992,18.1,99.9,845.4,0.0,1.0,3.9169800473203824
